t_unix,ts_us,scan_count,watchdog_tripped,devices_healthy
1788835058,708161350,354071,0,1
1788835059,709173811,354577,0,1
1788835060,710185202,355083,0,1
1788835061,711195576,355588,0,1
1788835063,712203739,356092,0,1
1788835064,713213913,356597,0,1
1788835065,714225681,357103,0,1
1788835066,715239854,357610,0,1
1788835067,716249791,358115,0,1
1788835068,717265284,358623,0,1
1788835069,718277263,359129,0,1
1788835070,719289704,359635,0,1
1788835071,720297545,360139,0,1
1788835072,721307852,360644,0,1
1788835073,722319198,361150,0,1
1788835074,723327892,361654,0,1
1788835075,724337778,362159,0,1
1788835076,725349292,362665,0,1
1788835077,726359425,363170,0,1
1788835078,727367535,363674,0,1
1788835079,728379284,364180,0,1
1788835080,729387784,364684,0,1
1788835081,730395777,365188,0,1
1788835082,731407849,365694,0,1
1788835083,732417351,366199,0,1
1788835084,733429173,366705,0,1
1788835085,734437443,367209,0,1
1788835086,735447282,367714,0,1
1788835087,736463676,368222,0,1
1788835088,737473472,368727,0,1
1788835089,738481919,369231,0,1
1788835090,739493853,369737,0,1
1788835091,740511694,370246,0,1
1788835092,741523127,370752,0,1
1788835093,742531525,371256,0,1
1788835094,743539740,371760,0,1
1788835095,744551628,372266,0,1
1788835096,745560006,372770,0,1
1788835097,746573572,373277,0,1
1788835098,747587461,373784,0,1
1788835099,748595134,374288,0,1
1788835100,749609390,374795,0,1
1788835101,750619446,375300,0,1
1788835102,751629324,375805,0,1
1788835103,752643188,376312,0,1
1788835104,753651257,376816,0,1
1788835105,754661730,377321,0,1
1788835106,755673230,377827,0,1
1788835107,756685081,378333,0,1
1788835108,757695728,378838,0,1
1788835109,758705454,379343,0,1
1788835110,759715317,379848,0,1
1788835111,760723510,380352,0,1
1788835112,761737354,380859,0,1
1788835113,762747804,381364,0,1
1788835114,763757447,381869,0,1
1788835115,764767257,382374,0,1
1788835116,765777916,382879,0,1
1788835117,766787191,383384,0,1
1788835118,767795891,383888,0,1
1788835119,768807546,384394,0,1
1788835120,769817356,384899,0,1
1788835121,770825941,385403,0,1
1788835122,771835665,385908,0,1
1788835123,772845382,386413,0,1
1788835124,773855917,386918,0,1
1788835125,774871315,387426,0,1
1788835126,775883857,387932,0,1
1788835127,776899084,388440,0,1
1788835128,777909818,388945,0,1
1788835129,778917981,389449,0,1
1788835130,779927508,389954,0,1
1788835131,780941359,390461,0,1
1788835132,781953184,390967,0,1
1788835133,782961450,391471,0,1
1788835134,783973552,391977,0,1
1788835135,784983551,392482,0,1
1788835136,785997804,392989,0,1
1788835137,787007575,393494,0,1
1788835138,788019086,394000,0,1
1788835139,789031797,394506,0,1
1788835140,790045232,395013,0,1
1788835141,791053630,395517,0,1
1788835142,792063242,396022,0,1
1788835143,793077269,396529,0,1
1788835144,794089563,397035,0,1
1788835145,795103656,397542,0,1
1788835146,796117328,398049,0,1
1788835147,797128004,398554,0,1
1788835148,798135256,399058,0,1
1788835149,799145387,399563,0,1
1788835151,800155222,400068,0,1
1788835152,801163127,400572,0,1
1788835153,802171834,401076,0,1
1788835154,803181186,401581,0,1
1788835155,804193102,402087,0,1
1788835156,805199991,402590,0,1
1788835157,806215939,403098,0,1
1788835158,807225899,403603,0,1
1788835159,808237720,404109,0,1
1788835160,809253187,404617,0,1
1788835161,810261450,405121,0,1
1788835162,811269496,405625,0,1
1788835163,812279905,406130,0,1
1788835164,813287599,406634,0,1
1788835165,814295935,407138,0,1
1788835166,815305764,407643,0,1
1788835167,816315452,408148,0,1
1788835168,817325623,408653,0,1
1788835169,818337548,409159,0,1
1788835170,819345377,409663,0,1
1788835171,820357206,410169,0,1
1788835172,821365958,410673,0,1
1788835173,822379535,411180,0,1
1788835174,823391487,411686,0,1
1788835175,824403710,412192,0,1
1788835176,825417273,412699,0,1
1788835177,826429431,413205,0,1
1788835178,827441574,413711,0,1
1788835179,828455186,414218,0,1
1788835180,829465507,414723,0,1
1788835181,830479622,415230,0,1
1788835182,831491593,415736,0,1
1788835183,832501829,416241,0,1
1788835184,833513737,416747,0,1
